City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.9,92,100,3.13,NZ,1682140587
1,xining,36.6167,101.7667,8.34,49,100,3.95,CN,1682140587
2,bethel,41.3712,-73.414,10.81,85,100,3.6,US,1682140588
3,port-aux-francais,-49.35,70.2167,5.12,74,85,10.92,TF,1682140588
4,tacuarembo,-31.7333,-55.9833,13.84,56,100,2.46,UY,1682140501
5,howrah,22.5892,88.3103,34.0,43,20,2.06,IN,1682140590
6,acarau,-2.8856,-40.12,24.24,87,14,4.84,BR,1682140590
7,ushuaia,-54.8,-68.3,2.81,70,20,1.54,AR,1682140590
8,west island,-12.1568,96.8225,28.99,79,40,7.72,CC,1682140592
9,college,64.8569,-147.8028,5.97,62,100,5.14,US,1682140592
10,ribeira grande,38.5167,-28.7,16.4,93,78,7.05,PT,1682140592
11,puerto ayora,-0.7393,-90.3518,26.42,92,41,4.47,EC,1682140592
12,enewetak,11.3474,162.3373,26.15,83,100,8.13,MH,1682140593
13,tommot,58.9564,126.2925,0.69,62,100,3.92,RU,1682140593
14,itaituba,-4.2761,-55.9836,23.78,99,100,0.55,BR,1682140593
15,anadyr,64.75,177.4833,-4.72,85,20,3.0,RU,1682140593
16,yellowknife,62.456,-114.3525,0.31,74,75,2.57,CA,1682140594
17,hermanus,-34.4187,19.2345,12.11,75,100,2.1,ZA,1682140594
18,labytnangi,66.6572,66.4183,-3.09,89,94,1.67,RU,1682140348
19,yonggwang-up,40.0183,127.4547,14.09,46,99,4.28,KP,1682140594
20,christchurch,-43.5333,172.6333,19.11,77,62,1.79,NZ,1682140500
21,arar,30.9753,41.0381,21.11,31,74,7.19,SA,1682140302
22,palmer,42.1584,-72.3287,9.78,66,75,3.09,US,1682140595
23,adamstown,-25.066,-130.1015,24.83,83,100,8.9,PN,1682140595
24,grytviken,-54.2811,-36.5092,2.66,98,100,2.24,GS,1682140595
25,ust-nera,64.5667,143.2,0.1,80,89,2.14,RU,1682140596
26,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1682140596
27,albany,42.6001,-73.9662,13.09,68,88,1.34,US,1682140596
28,iqaluit,63.7506,-68.5145,-0.15,100,100,8.75,CA,1682140596
29,cabo san lucas,22.8909,-109.9124,23.62,76,100,4.8,MX,1682140597
30,kosh-agach,50.0,88.6667,-3.16,39,58,1.33,RU,1682140597
31,longyearbyen,78.2186,15.6401,-14.09,61,40,4.12,SJ,1682140597
32,invercargill,-46.4,168.35,11.68,82,93,0.89,NZ,1682140546
33,kruisfontein,-34.0033,24.7314,12.16,73,99,2.25,ZA,1682140598
34,kralendijk,12.15,-68.2667,25.99,89,40,3.6,BQ,1682140598
35,edinburgh of the seven seas,-37.0676,-12.3116,17.67,85,33,15.91,SH,1682140598
36,mount isa,-20.7333,139.5,30.87,18,0,5.66,AU,1682140598
37,massaguet,12.4755,15.4365,29.59,20,92,4.28,TD,1682140599
38,al jawf,29.5,38.75,20.55,25,81,2.36,SA,1682140599
39,isafjordur,66.0755,-23.124,-0.93,74,11,3.08,IS,1682140599
